2013/11/21,WIND_SPEED,0.6,0.9,0.9,1.6,1,0.8,1.2,1.5,1.9,1.9,2.5,2.2,2.4,1.8,2.3,2.3,1.3,1.1,0.4,0.4,0.6,0.8,1.1,0.7
2013/11/22,PM10,151,138,126,107,92,89,105,106,99,80,81,88,97,99,100,110,109,126,117,115,84,71,54,44
2013/11/22,PM2.5,128,120,105,90,76,73,67,67,61,55,54,59,59,69,71,71,68,78,83,77,53,44,30,32
2013/11/22,WIND_DIREC,128,35,22,33,38,30,69,92,24,56,356,4.4,51,118,30,38,97,56,28,35,17,34,165,165
2013/11/22,WIND_SPEED,0.8,0.7,1.1,1.3,1,1.1,0.7,0.8,1.6,1.8,2.6,1.7,1.8,1.1,1.9,0.9,0.8,0.9,1,0.8,0.7,0.7,0.6,0.6
2013/11/23,PM10,34,24,20,13,15,12,18,29,44,45,42,40,42,49,107,188,248,267,267,251,235,227,243,237
2013/11/23,PM2.5,25,22,17,11,13,10,9,6,21,20,24,15,26,41,95,158,199,208,195,185,160,162,177,184
2013/11/23,WIND_DIREC,110,128,56,22,131,127,128,29,281,319,209,189,343,257,353,359,357,13,25,260,153,149,37,128
2013/11/23,WIND_SPEED,1,0.5,0.4,0.6,0.7,0.6,0.7,0.8,0.8,1.3,0.9,1.2,1.2,1.2,2.2,2.2,0.8,0.8,1.6,0.6,0.5,0.5,0.6,0.6
2013/11/24,PM10,221,194,186,150,122,73,56,67,106,137,147,128,110,94,106,119,149,166,177,174,168,174,155,150
2013/11/24,PM2.5,176,156,157,130,106,66,54,54,85,104,117,102,89,80,75,79,100,125,133,131,119,122,114,113
2013/11/24,WIND_DIREC,125,332,64,37,36,219,175,292,278,208,38,24,266,251,302,350,20,358,36,28,30,40,31,45
2013/11/24,WIND_SPEED,0.7,0.4,0.7,0.9,0.8,0.7,0.4,1.2,1.8,1,0.9,1,1.7,1.8,2.4,1.8,2.3,2.1,1.4,2,1.6,1.5,2.2,2.1
2013/11/25,PM10,117,117,92,81,63,51,43,27,17,20,23,25,27,27,31,30,37,45,55,65,72,77,81,76
